Business_Name,Category,Address,Neighborhood,Phone,Website,Description,Specialty
Tutto Italiano,Sandwich Shop,1889 River Street,Hyde Park,,,Family-owned Italian shop known for house-baked bread varieties,Italian sandwich with all salumi
Vinal General Store,Sandwich Shop,220 Somerville Avenue,Somerville,,,Cool Somerville spot with overstuffed sandwiches wines and soft serve,"Spuckie" (sub) with mortadella and salami
Bakey,Bakery,151 Tremont Street and other locations,Downtown,,,Danish-Israeli kosher bakery offering yeasty confections croissants and braided challahs,Chocolate babka
Bricco Panetteria,Bakery,11 Board Alley (behind 241 Hanover Street),North End,,,Modest panetteria behind Bricco restaurant with fresh Italian and French breads,$3 Italian or French baguettes
Clear Flour Bread,Bakery,178 Thorndike Street,Brookline,,,Brookline mainstay since 1982 with European-style loaves and pastries,Olive rolls and chocolate chunk cookies
Colette Bakery,Bakery,517 Columbus Avenue,South End,,,French bakery practicing culinary diplomacy with authentic pastries,Canelés and buttery croissants
Flour Bakery + Cafe,Bakery,131 Clarendon Street and other locations,Back Bay,,,Boston institution serving flaky breakfast pastries and famous sticky buns,Sticky sticky bun and breakfast sandwich
Ho Yuen Bakery,Bakery,54 Beach Street #1,Chinatown,,Not available,Unassuming Cantonese bakery with labor-intensive delicacies (cash only),Savory taro rolls and egg custard tarts
La Saison Bakery,Bakery,407 Concord Avenue and another location,Cambridge,,,Iranian-born pastry chef offering French classics and Persian flatbread,Kouign amann and barbari flatbread
La Sultana,Bakery,40 Maverick Square,East Boston,,Not available,Colombian bakery in Maverick Square cornerstone with freshly baked goods,Pandebono (cheese bread)
Lyndell's Bakery,Bakery,720 Broadway,Somerville,,,Somerville classic since 1887 rooted in the past with oversized fresh items,M&M cookies and custom decorated cakes
Mahalab Bakery,Bakery,1786 Massachusetts Avenue,Cambridge,,,Middle Eastern bake shop in Porter Square with naturally fermented bread,Country sourdough pitas and spinach fatayer
Modern Pastry Shop,Bakery,257 & 263 Hanover Street and another location,North End,,,North End fixture owned by same Italian family since 1930,Cannoli and tiramisu cake
Petsi Pies,Bakery,285 Beacon Street,Somerville,,,Ultimate spot for doubling up on savory and sweet pies,Silky quiches and chocolate bourbon pecan pie
Sofra Bakery and Cafe,Bakery,1 Belmont Street and another location,Cambridge,,,Middle Eastern bakery and cafe from Oleana chefs with bold savory delights,Cardamon morning bun with orange blossom glaze
Violette Bakers,Bakery,1782 Massachusetts Avenue,Cambridge,,,Gluten-free bakery with tagline "If it tastes gluten-free we don't sell it",Gluten-free cupcakes and challah
Yafa Bakery & Café,Bakery,594 Somerville Avenue,Somerville,,,Palestinian bakery and cafe with traditional Jerusalem recipes,Pistachio-filled mamoul cookies and baklava
Blue Bandana Relics,Vintage/Thrift,341 Somerville Avenue,Somerville,,https://www.bluebandanarelics.com,Woodsy New England vintage with high-quality items and curated goods,Pendleton blankets and leather jackets
Diversity Consignment,Vintage/Thrift,713 Centre Street,Jamaica Plain,617-524-8899,,"Two-floor shop with trendy clothes upstairs, books and pound items downstairs",Dynamic pricing system
40 South St. Vintage Fashion,Vintage/Thrift,40 South Street,Jamaica Plain,617-524-3202,,True vintage from the '60s '70s and '80s with great window displays,Statement pieces like camo jumpsuits
The Garment District,Vintage/Thrift,200 Broadway,Cambridge,617-876-5230,,Sprawling store with costumes pound items and neatly sorted vintage clothing,By-the-pound clothing and costume rentals
Goodwill Store (Davis branch),Vintage/Thrift,230 Elm Street,Somerville,617-628-3618,,Well-organized Davis Square branch with high-end clothing and housewares,Curated donations from nearby Buffalo Exchange
SoWa Vintage Market,Vintage/Thrift,450 Harrison Avenue,South End,617-481-2257,,Underground vintage market with multiple sellers and rotating goods,Sunday vintage market with outdoor component
The Thrift Shop of Boston,Vintage/Thrift,33 Corinth Street,Roslindale,617-327-3130,,Nearly 100-year-old nonprofit thrift supporting family services,Community donations under $15
Vivant Vintage,Vintage/Thrift,318 Lincoln Street and another location,Allston,617-254-8908,,High-quality carefully-curated vintage with excellent accessories selection,Secret location pop-ups for off-season items
We Thieves,Vintage/Thrift,1307 Cambridge Street and another location,Cambridge,617-441-5441,,Small well-decorated shops with luxury items and vintage clothing,Cool-girl denim and vintage T-shirts
Backbar,Cocktail Bar,7 Sanborn Court,Somerville,,,Tucked-away watering hole behind unmarked alley door with rotating themed menus,Themed cocktails and custom creations
Bar Lunette,Cocktail Bar,278A Harvard Street,Brookline,,,French cocktail bar in former optician space with original balanced cocktails,Negroni-inspired Day for Night
Hue,Cocktail Bar,90 Exeter Street,Back Bay,,,Supper club/speakeasy/dance lounge where prominent Bostonians relax,Espresso martini flights
Merai,Cocktail Bar,14 Harvard Street,Brookline,,,Thai-inspired dive bar from Mahaniyom team with inventive cocktails,Cocktails with galangal and Makrut lime
Next Door Speakeasy & Raw Bar,Cocktail Bar,103 Porter Street,East Boston,,,Kitschy decadent speakeasy near airport requiring password and reservations,Raw bar with extensive cocktail list
Parla,Cocktail Bar,230 Hanover Street,North End,,,Dark wood-paneled North End speakeasy with modern Italian food,Custom drinks and botanical cocktails
Temple Records,Cocktail Bar,17 Temple Place,Downtown,,,Japanese-style listening bar with custom sound system and vinyl collection,Japanese gins and whiskeys
Vera's,Cocktail Bar,70 Union Square,Somerville,,,Cocktail bar in former police headquarters with vast drink list,Best martini service in the city
The Wig Shop,Cocktail Bar,27 Temple Place,Downtown,,,Former wig shop turned cocktail lounge with upscale offerings and mannequin heads,Yo Soy (bourbon in soy sauce bottle)
Big Dig Records,Record Store,2325 Massachusetts Avenue,Cambridge,,,Vinyl newcomer loaded with underground music and impressive local punk,Underground and local punk records
Cheapo Records,Record Store,538 Massachusetts Avenue,Cambridge,,,Central Square mainstay since 1954 with rarities and original pressings,Classic vinyl and original pressings
Good Taste Records,Record Store,4 Thacher Street,North End,,,Small North End shop focusing on quality over quantity since 2022,Hip-hop to metal with welcoming atmosphere
Music Research Library,Record Store,24 Joy Street,Beacon Hill,,,Beacon Hill destination with deep varied collection of clean used vinyl,Rare and obscure international selections
Stereo Jack's,Record Store,736 Broadway,Somerville,,,Cambridge stalwart relocated to Ball Square with quirky diversity,New pop releases and rare used editions
Village Vinyl & Hi Fi,Record Store,307 Harvard Street,Brookline,,,Coolidge Corner spot with intimate setting and helpful staff,Congolese jazz and vintage stereo equipment
1369 Coffee House,Coffee Shop,1369 Cambridge Street,Cambridge,617-576-1369,https://1369coffeehouse.com,Cambridge fixture since 1993 with carefully selected roasts,Malted cold brew
Broadsheet Coffee Roasters,Coffee Shop,100 Kirkland Street,Cambridge,,https://broadsheetcoffee.com,Sleek modern Cambridge cafe with deliciously balanced small-batch roasts,Nitro Shandy and seasonal syrups
Caffé Vittoria,Coffee Shop,290-296 Hanover Street,North End,,,Cash-only cafe from 1929 with antique espresso machines and basement cigar bar,Whisper-light cappuccino and tiramisu
Cicada Coffee Bar,Coffee Shop,106 Prospect Street,Cambridge,,,Central Square spot with Vietnamese-style coffee drinks and rice bowls,Sea Salt Shaker with condensed milk
Flat Black Coffee,Coffee Shop,1170 Washington Street,Dorchester,,,Dorchester gem that nano-roasts everything onsite with industrial equipment,Nano-roasted beans and smooth espresso drinks
George Howell Coffee,Coffee Shop,505 Washington Street,Downtown Crossing,,,Downtown coffee connoisseur destination with beans from across the globe,Free tastings and pour-overs
Gracenote Coffee,Coffee Shop,108 Lincoln Street,Leather District,,https://gracenote.coffee,Boutique coffee in Leather District roasting beans from Colombia Ethiopia and Kenya,Alpha espresso blend with chocolate and lavender notes
Greystone Café Bakery and Provisions,Coffee Shop,123 Appleton Street,South End,857-350-4629,,South End spot with line down the block and comfy seating,Cold brew and seasonal pastry specialties
Madhouse Cafe,Coffee Shop,24 Blue Hill Avenue,Roxbury,617-620-1501,,Cozy cafe under canopy of plants adjoining motorcycle repair shop,Sweet tahini latte
Recreo Coffee and Roasterie,Coffee Shop,1876 Centre Street,West Roxbury,,,Family-owned shop with red chrome roaster and sustainable single-origin beans,Fruity balanced brew from Nicaragua family farm
Yego Coffee,Coffee Shop,1212 Broadway,Somerville,,,Husband-and-wife owners importing beans from family farm in Rwanda since 2023,Silky smooth espresso from Rwanda
Blackbird Doughnuts,Donut Shop,492 Tremont Street and other locations,South End,,,Creative and whimsical doughnuts with moist cake varieties,Signature Blackbird cake doughnut
Doughboy Donuts & Deli,Donut Shop,220 Dorchester Avenue,South Boston,,,Midnight doughnut spot geared toward night owls (doughnut-making starts 5 PM),Glazed doughnuts - light and airy
Kane's Donuts,Donut Shop,90 Oliver Street,Downtown,,,Modern downtown shop from 1955 Saugus original with 30+ varieties,Yeasty glazed honey rounds and Maine blueberry cakes
Mass Hole Donuts,Donut Shop,1157 Broadway,Somerville,,,Cheeky doughnut holes with creative ingredients named for local landmarks,The Big Dig (gummy worm and Oreo crumble)
Red Apple Farm at Boston Public Market,Donut Shop,100 Hanover Street,Downtown,,,Authentic farm stand making fresh apple cider doughnuts year-round on-site,Apple cider doughnuts from pressed cider
Union Square Donuts,Donut Shop,20 Bow Street,Somerville,,,Perfect balance of sweetness saltiness and doughiness with singular flavors,Vietnamese coffee and espresso martini doughnuts
Anchovies,Neighborhood Restaurant,433 Columbus Avenue,South End,,,South End institution with strong martinis and red sauce staples,Meatballs and ziti and Italian nachos
Brassica Kitchen + Cafe,Neighborhood Restaurant,3710 Washington Street,Jamaica Plain,,,Jamaica Plain cafe with house-made hot sauces fermented ingredients and fried chicken,Incredible fried chicken with waffles at brunch
Brewer's Fork,Neighborhood Restaurant,7 Moulton Street,Charlestown,,,Consummate local hangout known for wood-fired pizza and private-feeling beer garden,Wood-fired pizza with clams salami and smoked chicken
Comfort Kitchen,Neighborhood Restaurant,611 Columbia Road,Dorchester,,,Former comfort station exploring African diaspora through dishes and drinks,Brown butter okra and jerk jackfruit sliders
Delux Cafe,Neighborhood Restaurant,100 Chandler Street,South End,,,Kitschy kaleidoscopic jewel box bar with '50s and '60s paraphernalia,Honey-thyme vinaigrette salad and fresh pasta
The Druid,Neighborhood Restaurant,1357 Cambridge Street,Cambridge,,,Irish pub in Inman Square with lively Irish songs and authentic atmosphere,Best fish and chips around with tender cod
Eastern Standard Kitchen and Drinks,Neighborhood Restaurant,775 Beacon Street,Fenway,,,Second iteration of beloved brasserie with old-school style and marble bar,Bavette-cut steak frites and roasted bone marrow
Field & Vine,Neighborhood Restaurant,9 Sanborn Court,Somerville,,,Thoughtful seasonal menu in inviting space with twisted hanging branches,Fish carpaccio and kale salad from wood oven
Gustazo Cuban Kitchen & Bar,Neighborhood Restaurant,2067 Massachusetts Avenue,Porter Square,,,Cambridge restaurant with Cuban movie posters and Latin jazz atmosphere,Modern Cuban dishes including ropa vieja and arroz con pollo
Kaju Korean Cuisine,Neighborhood Restaurant,56 Harvard Avenue,Allston,,,Welcoming Allston restaurant perfect for cold nights with bubbling stews,Soft tofu stews and kimchi-scallion pancakes
Mooncusser and Moon Bar,Neighborhood Restaurant,"Mooncusser: 304 Stuart Street, Moon Bar: 129 Columbus Avenue",Back Bay,,,Upstairs-downstairs setup with tasting menus and casual a la carte,World flavors with New England ingredients
Myers + Chang,Neighborhood Restaurant,1145 Washington Street,South End,,,South End dim sum diner with fun atmosphere and reasonable prices,Mama Chang's pork and chive dumplings
Prairie Fire,Neighborhood Restaurant,242 Harvard Street,Brookline,,,Perfect Brookline restaurant with wood-fired oven and beer garden,Sourdough from Steel & Rye and fennel-sausage pizza
Restaurante Cesaria,Neighborhood Restaurant,266 Bowdoin Street,Dorchester,,,Cape Verdean gem with live music weekends and fruit-forward cocktails,Katchupada with hominy beans and pork
Sarma,Neighborhood Restaurant,249 Pearl Street,Somerville,,,Mediterranean-meets-Marrakesh revelation with jewel-like dishes,Electric-pink beet tahini and honey-kissed corn bread
Tres Gatos,Neighborhood Restaurant,470 Centre Street,Jamaica Plain,,,Wonderfully quirky Jamaica Plain tapas bar/book and music store since 2011,Blue cheese-stuffed dates and grilled prawns
Tu Y Yo,Neighborhood Restaurant,858 Broadway,Somerville,,,Sit-down staple with boundary-pushing Mexican flavors,Chopped cactus in green mole and grasshopper tacos
Alive & Kicking Lobsters,Lobster Rolls,273 Putnam Avenue,Cambridge,617-876-0451,,Family-run fish market in parking lot with picnic table dining,Lobster salad on toasted Scali bread sandwich
Belle Isle Seafood,Lobster Rolls,1 Main Street,Winthrop,,,Perfect urban seaside escape with view of water and Logan Airport,Lobster rolls piled high with super-fresh lobster
Eventide Fenway,Lobster Rolls,1321 Boylston Street,Fenway,617-545-1060,,Fenway sequel to Portland Maine original with innovative approach,Lobster roll with nutty brown butter on steamed bun
James Hook & Co.,Lobster Rolls,440 Atlantic Avenue,Downtown,617-423-5501,,Fish shack on waterfront where you can smell the ocean,Iconic lobster roll with mayo or butter family-run for 100 years
Neptune Oyster,Lobster Rolls,63 Salem Street,North End,617-742-3474,,Best-known roll in town with generous fresh sweet seafood,Hot with butter cold with mayo or with caviar on brioche
Row 34,Lobster Rolls,383 Congress Street,Fort Point,617-553-5900,,Fort Point outpost with heaping servings from chef's lobsterman cousin,Warm butter version and Ethel's Creamy with pickles
Yankee Lobster Co.,Lobster Rolls,300 Northern Avenue,Seaport,617-345-9799,,Family-owned spot with authentic taste of fishing traditions,Cold lobster roll overflowing with claws and tails
Aeronaut Brewing Co.,Brewery,14 Tyler Street,Somerville,,,Quirky industrial Somerville watering hole with whimsical beer names,Tangerine Coriander Sour Planet with Venezuelan food
Drawdown Brewing Co.,Brewery,3204 Washington Street,Jamaica Plain,,,Woman-owned LGBTQ+ friendly brewery with malt-forward beers,Let's Goooo cream ale and Follow Your Dreams altbier
Dorchester Brewing Co.,Brewery,1250 Massachusetts Avenue,Dorchester,,,Indoor-outdoor greenhouse/roof deck with Boston skyline view,New Moon wheat beer and Cobblestone dry stout
Harpoon Brewery & Beer Hall,Brewery,306 Northern Avenue,Seaport,,,Seaport pioneer since 1986 with onsite pickleball league and events,Eponymous IPA and UFO series wheat beers
Lamplighter Brewing Co.,Brewery,284 Broadway,Cambridge,,,Part coffee shop part brewery with creative stylings,Rabbit Rabbit double IPA and seasonal specialties
Long Live Roxbury,Brewery,152 Hampden Street,Roxbury,,,Comforting spot with excellent food rotating trucks and jazz Thursdays,Stouts that taste like chocolate and bonsai bar events
Mighty Squirrel Brewing Co.,Brewery,1 David Ortiz Drive and other locations,Fenway,,,13000-square-foot space near Fenway Park with multiple levels,Cloud Candy IPA and Latin-inspired menu
Notch Brewing,Brewery,525 Western Avenue,Brighton,,,Czech German and Polish beer styles in traditional glassware,Czech German and Polish beers with biergarten feel
Portico Brewing,Brewery,101 South Street,Somerville,,,Patio space welcoming to kids and dogs with on-site tacos,Previously On West Coast IPA and Tintin Belgian witbier
Remnant Brewing,Brewery,Bow Market 2 Bow Market Way,Somerville,,,Small thoughtful taproom at Bow Market ideal for remote work,Dream Pop pale ale and Bow Street Session ale
Roundhead Brewing Co.,Brewery,Westinghouse Plaza Building Number 10,Hyde Park,,,Peruvian-inspired beer and food from soccer dad co-owners,Contigo Lager and Chimú red ale with purple corn
Trillium Brewing,Brewery,50 Thomson Place,Fort Point,,,Original Fort Point location with modern glass-and-steel structure,Mettle and Congress Street IPAs with outdoor Greenway location
Widowmaker Brewing,Brewery,190 North Beacon Street,Brighton,,,Brighton intimate space churning out great brews,Blue Comet flagship IPA and seasonal Castle Walls Kolsch
Actors' Shakespeare Project,Activities,321 Arsenal Street,Watertown,,,Versatile theater troupe with inventive direction and contemporary selection,Shakespeare and American Century Cycle
American Repertory Theater,Activities,64 Brattle Street,Cambridge,,,Harvard University theater feeding shows to Broadway,Big-time productions in 550-seat Loeb Drama Center
Black Heritage Trail,Activities,Starts at corner of Beacon and Park streets,Beacon Hill,,,1.6 mile walk through vibrant Civil War era Black community,Free National Park Service ranger tours
Boston Harbor Islands,Activities,Ferry from 66 Long Wharf,Downtown,,,Quick escape or overnight getaway with multiple island options,Georges Island fort and Spectacle Island jazz
Boston Public Garden,Activities,4 Charles Street,Beacon Hill,,,Postcard Boston with cascading willows and Victorian fountains,Make Way for Ducklings sculpture and Swan Boats
Boston Symphony Orchestra,Activities,301 Massachusetts Avenue,Back Bay,,,Over 140 years old cultural treasure in gilded Symphony Hall,Symphonies concertos and July 4th Fireworks Spectacular
Courtyard Tea Room,Activities,Boston Public Library 230 Dartmouth Street,Back Bay,,,Regal tea room in Central Library with cucumber sandwiches and scones,Tea menu with Earl Grey to jasmine petals
Faneuil Hall Marketplace,Activities,4 South Market Street,Downtown,,,Historic meeting hall and granite market buildings for shopping and dining,Pizza slices lobster rolls and street performers
Fenway Park,Activities,4 Jersey Street,Fenway,,,America's Most Beloved Ballpark built in 1912,Day Game Premium Tour with Wally mascot meet
Handel + Haydn Society,Activities,Performances at New England Conservatory or Symphony Hall,,,,Period-instrument orchestra with energetic performances,Handel's Messiah and eclectic Baroque programs
Harvard Art Museums,Activities,32 Quincy Street,Cambridge,,,World-class institution in Renzo Piano-designed space,Renaissance to American Modernism always free
Hub Town Tours,Activities,Start at Boston Common opposite 50 Beacon Street,Downtown,,,Small group tours with compelling Revolutionary War narratives,Freedom Trail and Beacon Hill Civil War walks
Institute of Contemporary Art,Activities,25 Harbor Shore Drive,Seaport,,,Contemporary art with breathtaking glass overlook plus Watershed location,Large-scale immersive exhibits and water shuttle
Isabella Stewart Gardner Museum,Activities,25 Evans Way,Fenway,,,Faux Venetian palazzo with jaw-dropping European paintings,Titian Botticelli Rembrandt Sargent and contemporary wing
Jacque's Cabaret,Activities,79 Broadway Street,Theater District,,,Nightly drag shows from Boston's oldest operating LGBTQ establishment,The Dollhouse and Drag Stroll with local favorites
John F. Kennedy Presidential Library and Museum,Activities,Columbia Point,Dorchester,,,Glory years of energy hope and limitless possibility,Peace Corps space program and Cold War diplomacy
Mount Auburn Cemetery,Activities,580 Mount Auburn Street,Cambridge,,,175-acre oasis part arboretum part wildlife sanctuary,Final resting place of Harriet Jacobs and Winslow Homer
Museum of Fine Arts Boston,Activities,465 Huntington Avenue,Fenway,,,Most important museums with recent overhauls of core collections,Van Goghs Monets and best-on-planet Greek Roman Egyptian art
Paddle Boston,Activities,1071 Soldiers Field Road,Allston,,,New perspective on city from Charles River Mystic River or Boston Harbor,Canoe kayak and paddleboard rentals with guided tours
SoWa Open Market,Activities,500 Harrison Avenue,South End,,,Summer Sunday meandering among artisan stalls and food trucks,Indoor SoWa Vintage Market year-round
The Sports Museum,Activities,100 Legends Way,West End,,,Boston sports history celebrated in TD Garden levels 5 and 6,1967 Red Sox and 2024 Celtics with Bruins Heritage Hall
USS Constitution and USS Cassin Young,Activities,1 Constitution Road,Charlestown,,,Oldest active warship Old Ironsides and WWII destroyer,Free tours with ID required for adults
Bred,Burger,2255 Dorchester Avenue,Dorchester,,,Gourmet burger shop with thick juicy smoked prime grass-fed patties,The Maui with pineapple ham and barbecue sauce
The Capital Burger,Burger,159 Newbury Street,Back Bay,,,Fancy steakhouse burger baby with Pat LaFrieda beef,Capital Burger with caramelized onions and gruyere
Highland Kitchen,Burger,150 Highland Avenue,Somerville,,,Neighborhood restaurant favorite with impeccable jukebox selection,Double cheeseburger tower with caramelized onions
Hojoko,Burger,1271 Boylston Street,Fenway,,,Japanese rock 'n' roll tavern with cultural synthesis,Wagyu beef patty with American cheese and dashi pickles
Little Donkey,Burger,505 Massachusetts Avenue,Cambridge,,,High-low restaurant cooking treating burgers with respect,Griddled dry-aged beef with buffalo pickles
Mr. Bartley's Burger Cottage,Burger,1246 Massachusetts Avenue,Cambridge,,,60-year burger joint with memorabilia and famous diners list,First-class burgers and thick Oreo milkshake
Veggie Galaxy,Burger,450 Massachusetts Avenue,Cambridge,,,Iconic all-vegetarian diner with five veggie burger options,Galaxy Smashburger made with beets and lentils
Christina's Homemade Ice Cream,Ice Cream,1255 Cambridge Street,Cambridge,,,Beloved parlor with exotic flavors before it was trendy,Green tea and strong ginger flavors
Crescent Ridge,Ice Cream,Boston Public Market 100 Hanover Street,Downtown,,,Sharon dairy company stall serving famous family recipes,Award-winning cherry ridge ripple open year round
Delini Gelato,Ice Cream,5 Bellevue Street,West Roxbury,,,Tiny West Roxbury shop making richly flavored Italian gelato,Tiramisu chocolate hazelnut and baklava flavors
Far Out Ice Cream,Ice Cream,419 Harvard Street and other locations,Brookline,,,New Zealand-style ice cream made to order from regional ingredients,Flash-frozen Maine blueberries with house-made waffle cones
Forge Baking Co. & Ice Cream Bar,Ice Cream,626 Somerville Avenue,Somerville,,,Strip mall gem with founders from iconic Herrell's chain,Dense smooth ice cream with sweet malted vanilla
Honeycomb Creamery,Ice Cream,1702 Massachusetts Avenue,Cambridge,,,Popular shop sourcing ingredients from local farms,Taco Tuesdays vegan options and fresh fruit sorbets
The Ice Creamsmith,Ice Cream,2295 Dorchester Avenue,Dorchester,,,Nearly 50-year-old Dorchester neighborhood spot,Banana with chunks and classic maple walnut
New City Microcreamery,Ice Cream,403 Massachusetts Avenue,Cambridge,,,Central Square spot with inventive rotating dairy flavors and great vegan options,Chocolate avocado and lime avocado with vegan sprinkles
The Scoop N Scootery,Ice Cream,75 Linden Street and other locations,Allston,,,Delivery ice cream service with dozens of toppings for custom creations,German chocolate cake ice cream with red velvet cake
Taiyaki,Ice Cream,119 Seaport Boulevard Suite B and another location,Seaport,,,Instagram-famous chain specializing in fish-shaped waffle cones,Soft serve in taiyaki cones with red bean paste or custard
Toscanini's,Ice Cream,899 Main Street,Cambridge,,,Cambridge institution serving rich creamy scoops for years,Burnt caramel kulfi and B3 (brown butter brown sugar brownies)
Florina Pizzeria & Paninoteca,Pizza,16 Derne Street,Beacon Hill,,,Beacon Hill stop with magically crisp thin-crust and excellent Sicilian,Biggest and best cheese slice in town
Galleria Umberto,Pizza,289 Hanover Street,North End,,,James Beard award-winning North End pizzeria run by Deuterio family,Famed square pizza made in sheet pans until sold out
Parziale's Bakery,Pizza,80 Prince Street,North End,,,Tiny North End joint often overshadowed by flashy neighbor Bova's,Four-dollar margherita slice with bright tomato sauce
Picco,Pizza,513 Tremont Street,South End,,,Early craft pizza scene pioneer specializing in pizza and ice cream,White Alsatian with bacon gruyere and shallots
Pinocchio's Pizza & Subs,Pizza,74 Winthrop Street,Cambridge,,,Iconic counter-service spot off Harvard Square open until 2 AM,Sicilian squares crispy bottom pillowy top buttery throughout
Quattro,Pizza,264 Hanover Street,North End,,,North End spot from Frank DePasquale serving authentic Neapolitan-style,Margherita with mozzarella di bufala and mortadella with pistachio
Regina Pizzeria,Pizza,11½ Thacher Street,North End,,,Utterly classic old-school Italian-American pies since 1926,Brick-oven pizza with crisp thin crust and bright sauce
Santarpio's Pizza,Pizza,111 Chelsea Street,East Boston,,,More than century in business with unique Boston-style pie,Tangy saucy masterpiece with cornmeal crust crunch
Si Cara,Pizza,425 Massachusetts Avenue,Cambridge,,,Central Square natural wine bar specializing in canotto-style pies,Gloriously tangy sourdough crust with confit potato and pea tendril
anoush'ella,Cheap Eats,35 West Newton Street and other locations,South End,,,Armenian-Lebanese fast-casual with extraordinary meals under $10,Massive bowls with grilled halloumi or kofta on toasted couscous
Bova's,Cheap Eats,134 Salem Street,North End,,,Iconic 24-hour bakery with Italian sweets and savory offerings,Half-calzones stuffed with chicken parmesan for $12
Buenas,Cheap Eats,1 Bow Market Way Unit 14,Somerville,,,Argentinian-American empanada spot with creative moon-shaped offerings,Trio samplers for $13 including Frito pie and Cinnamon Toast Crunch
Dolma Mediterranean Cuisine,Cheap Eats,5 Kendall Street,Brookline,,,Turkish restaurant with Mediterranean coast specialties,Shakshuka red lentil soup and stuffed peppers
Dumpling House,Cheap Eats,950 Massachusetts Avenue,Cambridge,,,Perennially busy Cambridge staple with efficient professional staff,Steamed soup dumplings and Szechuan crispy chicken
El Peñol Restaurante,Cheap Eats,54 Bennington Street,East Boston,,,Colombian restaurants with almost nothing over $20,Beef empanadas for $1.50 and fried chicken with mushroom cream
Evergreen Eatery + Café,Cheap Eats,154 Green Street,Jamaica Plain,,,Orange Line secret with egg and cheese under $5,Golden Avocado Toast with balsamic glaze for $13
Flavor Boom!,Cheap Eats,155 Milk Street and other locations,Downtown,,,Tall cartons of rice vegetables and meats from around the world,Indonesian beef rendang and Thai shrimp curry for $11
Gene's Chinese Flatbread Cafe,Cheap Eats,86 Bedford Street,Downtown Crossing,,,Hand-pulled noodles and flatbread sandwiches from Xi'an native,Thick chewy noodles with chili oil cilantro and raw garlic
Gyro City,Cheap Eats,183 Chestnut Hill Avenue,Brighton,,,Fast affordable sandwiches with tender meat crispy fries and sauces,Large gyros with tzatziki and mustard sauce
Hemlock Grill,Cheap Eats,1281 West Roxbury Parkway,Chestnut Hill,,,Restaurant inside golf course open to public with 1930s clubhouse,Fried chicken sandwich $13 and fish and chips $16
Hot Box,Cheap Eats,1 Bow Market Way Unit 6,Somerville,,,South Shore bar pizza versus North Shore roast beef rivalry,Bar pizza and Arbeez-style roast beef under $15
Life Alive Organic Cafe,Cheap Eats,765 Massachusetts Avenue and other locations,Cambridge,,,Herbaceous umami-packed vegetarian chain with nourishing fare,Grain bowls wraps and noodle soups with fruit smoothies
